Twitter Feed,Source Account,Tweets Ago,Tweet,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
BBCWorld,BBC News (World),1,World Cup: Nike boots barred for Iran footballers amid US sanctions https://t.co/cnNKTulFAF,Tue Jun 12 18:37:34 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),2,Jean-Pierre Bemba: ICC orders release of Congo 'warlord' https://t.co/8fAf1Mkm1D,Tue Jun 12 18:05:58 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),3,Macedonia and Greece: Deal after 27-year row over a name https://t.co/qmDaY4mMAb,Tue Jun 12 16:55:28 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),4,Navarro sorry for 'special place in hell'' for Trudeau remark https://t.co/gyn2mkLhZ6,Tue Jun 12 16:53:14 +0000 2018,0.34,0.208,0.692,0.1
BBCWorld,BBC News (World),5,Spanish football league defends phone 'spying' https://t.co/J21rBPWZJZ,Tue Jun 12 16:20:12 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),6,"RT @BBCNews: A win-win or a Kim win? #TrumpKimSummit 

https://t.co/LS8uCH3v7j https://t.co/4g7DVT8O37",Tue Jun 12 16:08:12 +0000 2018,0.5859,0.322,0.678,0.0
BBCWorld,BBC News (World),7,"""Boy look at that view. Wouldn't that make a great condo?""

From Trump's coastline compliment to Kim Jong-un's 'pen… https://t.co/wvoi9dlPQK",Tue Jun 12 15:50:24 +0000 2018,-0.05,0.133,0.727,0.141
BBCWorld,BBC News (World),8,Ten handshakes that shook the world https://t.co/UWGxXPMzKW,Tue Jun 12 15:42:33 +0000 2018,-0.1027,0.0,0.811,0.189
BBCWorld,BBC News (World),9,Vase found in shoebox sells for 16m euros https://t.co/xLOrzWbJFN,Tue Jun 12 15:14:31 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),10,RT @BBCMonitoring: North Koreans have not yet seen any TV news reports of the historic meeting between leader Kim Jong-un and President Tru…,Tue Jun 12 15:08:54 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),11,Win-win or a Kim win? https://t.co/HUTGpeHpQU,Tue Jun 12 14:26:33 +0000 2018,0.5859,0.487,0.513,0.0
BBCWorld,BBC News (World),12,"Jean-Claude Arnault, photographer in Nobel prize scandal, charged with rape https://t.co/BpgMIp4wdt",Tue Jun 12 14:21:25 +0000 2018,-0.7269,0.168,0.355,0.477
BBCWorld,BBC News (World),13,"People who have had strokes are learning to cook for themselves again, thanks to this one-handed cookbook… https://t.co/9EC2Cnggpr",Tue Jun 12 13:51:00 +0000 2018,0.4404,0.146,0.854,0.0
BBCWorld,BBC News (World),14,Trump Kim summit: Five odd moments from the day https://t.co/Iv6cf56hLw,Tue Jun 12 13:27:02 +0000 2018,-0.3182,0.0,0.796,0.204
BBCWorld,BBC News (World),15,Kim Trump summit: North Korea state TV not airing summit news https://t.co/7PpE3BGqHB,Tue Jun 12 13:24:35 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),16,Chimamanda Ngozi Adichie wins PEN Pinter prize https://t.co/74haDV8C4y,Tue Jun 12 13:13:10 +0000 2018,0.7906,0.538,0.462,0.0
BBCWorld,BBC News (World),17,"Video shows jogger throwing away homeless man's possessions 

https://t.co/YWPnJrcc3M https://t.co/JWNQSDwYwA",Tue Jun 12 12:49:38 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),18,"Egypt's Salah ""used for political capital"" https://t.co/N6V4HTdFLD",Tue Jun 12 12:16:55 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),19,"""The world will see a major change""

#TrumpKim https://t.co/E9ndZbPv0T https://t.co/zUAC66Xlzu",Tue Jun 12 11:27:37 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),20,Volkswagen Beetle: Mexico's enduring love of a classic car https://t.co/7fOLBvcEN0,Tue Jun 12 11:03:32 +0000 2018,0.6369,0.344,0.656,0.0
BBCWorld,BBC News (World),21,"US President Donald Trump on Kim Jong-un's ""opportunity"" 

#TrumpKimSummit https://t.co/y2hdld3pPz https://t.co/dKb4HzhyOz",Tue Jun 12 11:00:05 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),22,Louboutin wins legal battle over red soles https://t.co/jkrZt6Z7mW,Tue Jun 12 10:58:48 +0000 2018,0.3818,0.406,0.391,0.203
BBCWorld,BBC News (World),23,Private funeral held for Avicii in Sweden https://t.co/3gp6db9Jia,Tue Jun 12 10:56:25 +0000 2018,-0.3612,0.0,0.737,0.263
BBCWorld,BBC News (World),24,Trump Kim summit: What food was on the diplomatic menu? https://t.co/y8flxx7fIX,Tue Jun 12 10:49:11 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),25,Germany recalls contaminated Dutch eggs in fipronil scare https://t.co/5QUzzcWtUi,Tue Jun 12 10:13:52 +0000 2018,-0.4939,0.0,0.714,0.286
BBCWorld,BBC News (World),26,Uber applies for patent to spot drunk passengers https://t.co/drkJgfz2XU,Tue Jun 12 10:07:04 +0000 2018,-0.34,0.0,0.769,0.231
BBCWorld,BBC News (World),27,Stranded migrants: Three ships to take 629 people on Aquarius to Spain https://t.co/fRtjpsSeFn,Tue Jun 12 09:50:38 +0000 2018,0.0,0.0,1.0,0.0
BBCWorld,BBC News (World),28,E3: Sony PlayStation 4's kiss kiss bang bang event https://t.co/jc6Hasg8q5,Tue Jun 12 09:48:15 +0000 2018,0.6808,0.412,0.588,0.0
BBCWorld,BBC News (World),29,"RT @BBCSport: Canada, US &amp; Mexico v Morocco. Who's going to get the nod for the 2026 #WorldCup? Time to take a look. 

➡ https://t.co/6ihh1…",Tue Jun 12 09:32:22 +0000 2018,0.0,0.0,1.0,0.0
